Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0.1742,-0.0727,0.8340,-0.2100,-185.7800,7.1400
0.2133,-0.1210,0.9096,1.8900,-174.7200,1.8900
0.2318,-0.0761,0.9374,2.5900,-169.3300,-3.4300
0.2747,-0.0615,0.9345,-3.0800,-163.3100,-8.6100
0.3030,-0.0356,0.9306,-1.8200,-159.3900,-10.5000
0.3396,0.0088,0.9150,4.2700,-159.1800,-8.1200
0.4016,0.0171,0.8789,10.5000,-155.6800,-6.4400
0.4485,-0.0307,0.8189,13.7900,-149.7300,-3.9200
0.4665,-0.0054,0.6388,11.2700,-138.8800,-2.4500
0.5007,-0.0400,0.6124,12.5300,-126.0700,0.6300
0.4880,-0.0473,0.5783,4.0600,-105.8400,1.6800
0.4900,-0.0429,0.5602,-9.3800,-87.6400,0.2800
0.4895,-0.0234,0.6378,-16.5200,-65.2400,0.5600
0.4997,0.0449,0.6861,-20.0200,-48.8600,1.5400
0.5100,0.0669,0.7510,-18.8300,-29.9600,2.4500
0.5056,0.0722,0.7379,-16.1000,-13.2300,2.5200
0.5080,0.0537,0.6852,-14.0700,11.2000,1.5400
0.5061,0.0551,0.6427,-6.7900,31.7800,2.2400
0.5095,0.0259,0.5866,1.7500,59.6400,2.9400
0.5314,-0.0610,0.5192,4.6200,103.3200,0.3500
0.4978,-0.0620,0.5705,4.8300,116.4100,-2.0300
0.4494,-0.0556,0.6246,7.4900,143.3600,-2.9400
0.4480,-0.0229,0.7261,2.7300,161.3500,-3.9900
0.4065,-0.0264,0.7715,-2.7300,182.3500,-4.6900
0.3611,-0.0029,0.8008,-5.0400,196.7700,-6.3700
0.3543,0.0342,0.8545,-0.6300,212.5200,-4.4800
0.3260,0.0874,0.8838,16.5200,222.0400,2.8000
0.2713,0.0683,0.9213,29.4700,232.0500,8.6800
0.2250,0.0693,0.9999,39.3400,238.1400,15.8200
0.1806,0.0342,0.9994,41.7200,245.4200,18.9000
0.1606,-0.0386,0.9662,35.0700,251.5800,15.4000
0.1020,-0.1025,0.9360,27.3000,262.2900,11.5500
0.0171,-0.0673,0.9335,13.7200,269.9200,10.0800
-0.0571,-0.0376,0.9594,4.5500,276.9900,9.6600
